Speaker	Start_Sec	End_Sec	Duration_Sec	Turn_Type
P1	0.01	2.47	2.4600000000000004	T
P2	1.82	4.44	2.62	T
P1	3.52	3.91	0.3900000000000001	T
P1	4.24	4.86	0.6200000000000001	T
P1	5.41	7.88	2.4699999999999998	T
P2	7.93	8.52	0.5899999999999999	T
P2	9.84	17.96	8.120000000000001	T
P1	18.13	18.56	0.4299999999999997	T
P1	18.82	19.4	0.5799999999999983	T
P1	19.98	23.49	3.509999999999998	T
P2	22.95	27.19	4.240000000000002	T
P1	26.77	28.69	1.9200000000000017	T
P2	27.79	29.65	1.8599999999999994	T
P1	29.61	30.37	0.7600000000000016	T
P2	29.75	40.47	10.719999999999999	T
P1	36.63	37.01	0.37999999999999545	T
P1	38.36	39.03	0.6700000000000017	T
P2	40.5	44.86	4.359999999999999	T
P1	44.06	50.23	6.169999999999995	T
P2	50.44	82.34	31.900000000000006	T
P1	82.63	92.4	9.77000000000001	T
P2	92.42	101.92	9.5	T
P1	102.45	103.09	0.6400000000000006	T
P1	103.76	105.44	1.6799999999999926	T
P2	105.72	106.32	0.5999999999999943	T
P2	107.62	109.02	1.3999999999999915	T
P1	109.69	111.81	2.1200000000000045	T
P2	111.81	112.78	0.9699999999999989	T
P1	112.6	116.22	3.6200000000000045	T
P2	113.11	113.77	0.6599999999999966	T
P2	116.27	117.1	0.8299999999999983	T
P1	117.1	126.23	9.13000000000001	T
P2	125.58	126.81	1.230000000000004	T
P1	126.86	127.54	0.6800000000000068	T
P1	128.02	144.22	16.19999999999999	T
P2	141.26	141.87	0.6100000000000136	T
P2	144.11	144.72	0.6099999999999852	T
P1	144.92	154.42	9.5	T
P2	151.52	152.13	0.6099999999999852	T
P2	153.64	177.52	23.880000000000024	T
P1	177.43	179.98	2.549999999999983	T
P2	179.94	180.83	0.8900000000000148	T
P1	180.0	181.29	1.289999999999992	T
P2	181.22	183.36	2.140000000000015	T
P1	182.98	186.52	3.5400000000000205	T
P2	186.16	193.71	7.550000000000011	T
P1	195.67	196.92	1.25	T
P2	195.94	209.4	13.460000000000008	T
P1	209.47	211.14	1.6699999999999875	T
P2	211.38	221.26	9.879999999999995	T
P1	221.35	223.86	2.5100000000000193	T
P2	223.69	225.35	1.6599999999999966	T
P1	224.35	224.92	0.5699999999999932	T
P1	225.36	230.61	5.25	T
P2	228.86	233.42	4.559999999999974	T
P1	233.63	237.88	4.25	T
P2	236.1	239.08	2.980000000000018	T
P1	238.5	239.11	0.6100000000000136	T
P1	240.13	242.09	1.960000000000008	T
P2	242.18	242.96	0.7800000000000011	T
P1	242.72	243.83	1.1100000000000136	T
P2	243.64	250.05	6.410000000000025	T
P1	250.42	251.63	1.210000000000008	T
P2	250.79	252.25	1.460000000000008	T
P1	252.02	283.88	31.859999999999985	T
P2	279.41	280.1	0.6899999999999977	T
P2	283.99	284.59	0.5999999999999659	T
P1	284.41	297.58	13.169999999999959	T
P2	294.28	307.23	12.950000000000045	T
P1	303.29	303.78	0.48999999999995225	T
P1	305.58	311.17	5.590000000000032	T
P2	309.39	310.01	0.6200000000000045	T
P2	311.03	312.27	1.240000000000009	T
P1	311.23	313.19	1.9599999999999795	T
P2	313.01	324.72	11.710000000000036	T
P1	323.51	329.75	6.240000000000009	T
P2	329.68	333.62	3.9399999999999977	T
P1	333.61	334.23	0.6200000000000045	T
P1	335.76	338.21	2.4499999999999886	T
P2	336.59	337.28	0.6899999999999977	T
P2	337.85	340.68	2.829999999999984	T
P1	341.62	345.94	4.319999999999993	T
P2	343.62	346.69	3.069999999999993	T
P1	346.3	347.57	1.2699999999999818	T
P2	347.22	351.56	4.339999999999975	T
P1	348.85	349.14	0.2899999999999636	T
P1	351.92	352.58	0.6599999999999682	T
P2	353.56	358.2	4.639999999999986	T
P1	360.3	361.57	1.2699999999999818	T
P2	361.34	370.88	9.54000000000002	T
P1	371.82	373.78	1.9599999999999795	T
P2	372.27	374.22	1.9500000000000455	T
P1	373.95	380.39	6.439999999999998	T
P2	380.68	384.14	3.4599999999999795	T
P1	384.14	386.17	2.0300000000000296	T
P2	384.31	392.33	8.019999999999982	T
P1	392.15	393.31	1.160000000000025	T
P2	392.48	394.08	1.599999999999966	T
P1	393.81	396.22	2.410000000000025	T
P2	396.38	397.42	1.0400000000000205	T
P1	396.81	400.55	3.740000000000009	T
P2	400.3	401.25	0.9499999999999886	T
P1	401.05	426.06	25.00999999999999	T
P2	424.84	429.42	4.580000000000041	T
P1	426.81	433.8	6.990000000000009	T
P2	429.62	434.93	5.310000000000002	T
P1	434.58	435.3	0.7200000000000273	T
P2	436.28	438.73	2.4500000000000455	T
P1	439.31	477.62	38.31	T
P2	476.22	477.06	0.839999999999975	T
P1	478.61	488.34	9.729999999999961	T
P2	481.54	482.13	0.589999999999975	T
P2	484.62	487.38	2.759999999999991	T
P1	489.1	497.21	8.109999999999957	T
P2	497.62	498.66	1.0400000000000205	T
P1	498.58	509.38	10.800000000000011	T
P2	509.35	515.43	6.079999999999927	T
P1	513.04	515.97	2.9300000000000637	T
P2	516.11	519.01	2.8999999999999773	T
P1	519.22	522.53	3.3099999999999454	T
P2	519.67	530.16	10.490000000000009	T
P1	530.21	569.98	39.76999999999998	T
