Start_Time(s)	End_Time(s)	Annotation
0.01	2.47	T
3.52	3.91	T
4.24	4.86	T
5.41	6.44	T
7.00	7.88	T
18.13	18.30	T
18.44	18.56	T
18.82	19.40	T
19.98	23.49	T
24.79	25.41	T
26.77	28.69	T
29.61	30.37	T
35.33	35.87	T
36.63	37.01	T
38.36	39.03	T
42.95	43.52	T
44.06	47.94	T
48.29	50.23	T
61.95	62.56	T
67.07	67.19	T
74.08	74.52	T
79.11	79.70	T
82.63	86.74	T
87.37	92.40	T
102.45	103.09	T
103.76	105.44	T
109.69	111.81	T
112.60	116.22	T
117.10	118.96	T
119.43	123.00	T
123.27	126.23	T
126.86	127.54	T
128.02	129.78	T
131.11	134.65	T
134.76	136.26	T
136.60	139.48	T
139.69	144.22	T
144.92	148.18	T
148.32	149.07	T
149.85	150.90	T
151.23	154.42	T
155.87	156.43	T
162.14	162.56	T
174.48	175.04	T
177.43	179.98	T
180.00	181.29	T
182.98	183.68	T
183.86	184.72	T
184.73	186.52	T
195.67	196.92	T
200.55	201.00	T
207.84	208.48	T
209.47	211.14	T
214.73	215.34	T
221.35	223.86	T
224.35	224.92	T
225.36	227.03	T
227.76	230.61	T
233.63	235.58	T
236.00	237.88	T
238.50	239.11	T
240.13	242.09	T
242.72	243.83	T
246.35	246.99	T
250.42	251.63	T
252.02	258.24	T
258.84	261.35	T
261.90	266.96	T
267.17	269.18	T
269.99	273.28	T
273.54	276.72	T
276.79	278.39	T
279.27	283.88	T
284.41	286.85	T
287.03	288.68	T
288.88	290.46	T
291.03	293.47	T
293.72	297.58	T
299.91	300.55	T
303.29	303.78	T
305.58	307.69	T
308.08	311.17	T
311.23	313.19	T
317.96	318.58	T
322.51	323.13	T
323.51	327.97	T
328.18	329.75	T
333.61	334.23	T
335.76	338.21	T
338.72	339.28	T
341.62	345.94	T
346.30	347.57	T
348.85	349.14	T
351.92	352.58	T
360.30	361.57	T
362.70	363.30	T
371.82	373.78	T
373.95	375.39	T
376.78	378.62	T
379.02	380.39	T
384.14	386.17	T
386.67	387.32	T
392.15	393.31	T
393.81	396.22	T
396.81	400.55	T
401.05	402.41	T
403.02	406.72	T
408.03	408.97	T
409.65	412.66	T
412.94	414.46	T
414.72	416.25	T
416.90	420.66	T
421.14	426.06	T
426.81	427.58	T
428.86	433.80	T
434.58	435.30	T
439.31	442.78	T
443.26	445.87	T
446.64	448.63	T
449.37	451.47	T
451.68	454.41	T
454.91	456.54	T
456.90	459.11	T
459.50	460.85	T
461.00	462.77	T
463.44	466.53	T
467.15	469.70	T
470.35	473.19	T
473.95	477.62	T
478.61	481.23	T
481.49	488.34	T
489.10	490.51	T
491.20	495.53	T
495.61	497.21	T
498.58	500.00	T
500.58	501.63	T
502.03	505.07	T
505.30	509.38	T
511.90	512.48	T
513.04	514.81	T
515.35	515.97	T
519.22	522.53	T
522.97	523.52	T
529.66	529.78	T
530.21	532.81	T
533.16	537.89	T
538.40	541.40	T
541.48	543.58	T
543.84	547.16	T
548.01	550.62	T
550.99	553.68	T
553.87	555.93	T
556.83	557.56	T
557.77	561.28	T
561.66	563.21	T
563.67	565.44	T
566.00	567.40	T
567.68	569.98	T
